SN,Gender,AGE,Recency_Service,Recency_Product,Bill_Service,Bill_Product,Success,AGE_Encoded,Total_Recency,Total_Bill,Recency_Ratio,Bill_Ratio
226,2,<=30,2,5,7.05,0.47,1,0,7,7.52,0.3333333333333333,4.795918367346939
227,2,<=30,0,7,12.85,1.46,0,0,7,14.309999999999999,0.0,5.223577235772358
228,1,<=30,8,1,3.69,0.58,0,0,9,4.27,4.0,2.3354430379746836
229,1,<=30,4,9,6.74,1.11,0,0,13,7.8500000000000005,0.4,3.1943127962085303
230,1,<=30,4,3,10.87,2.86,1,0,7,13.729999999999999,1.0,2.816062176165803
231,1,<=30,3,0,4.73,1.17,0,0,3,5.9,3.0,2.1797235023041477
232,1,<=30,2,9,15.69,1.33,0,0,11,17.02,0.2,6.733905579399141
233,2,<=30,4,3,18.18,0.42,0,0,7,18.6,1.0,12.802816901408452
234,1,<=30,5,2,8.09,0.76,0,0,7,8.85,1.6666666666666667,4.596590909090909
235,1,<=55,9,11,19.82,1.64,1,2,20,21.46,0.75,7.507575757575759
236,2,<=30,1,0,11.14,0.96,1,0,1,12.100000000000001,1.0,5.683673469387755
237,2,<=45,2,1,7.31,0.34,1,1,3,7.6499999999999995,1.0,5.455223880597014
238,1,<=45,11,6,5.24,0.42,1,1,17,5.66,1.5714285714285714,3.690140845070423
239,1,<=30,5,7,8.43,1.99,0,0,12,10.42,0.625,2.8193979933110365
240,1,<=30,6,7,7.51,1.18,0,0,13,8.69,0.75,3.4449541284403673
241,1,<=45,11,17,12.94,3.14,0,1,28,16.08,0.6111111111111112,3.125603864734299
242,2,<=30,3,4,24.61,2.34,1,0,7,26.95,0.6,7.368263473053893
243,2,<=45,7,15,7.18,0.95,0,1,22,8.129999999999999,0.4375,3.682051282051282
244,2,<=45,0,13,1.36,0.84,1,1,13,2.2,0.0,0.7391304347826088
245,2,<=45,9,12,6.9,2.08,0,1,21,8.98,0.6923076923076923,2.24025974025974
246,2,<=30,3,1,9.09,0.9,0,0,4,9.99,1.5,4.78421052631579
247,2,<=30,5,1,6.82,2.76,0,0,6,9.58,2.5,1.8138297872340428
248,2,<=55,2,15,15.33,1.71,1,2,17,17.04,0.125,5.656826568265683
249,2,<=30,1,3,12.87,0.51,0,0,4,13.379999999999999,0.25,8.52317880794702
250,1,<=30,0,2,19.52,1.37,1,0,2,20.89,0.0,8.236286919831223
251,1,<=55,8,7,14.88,0.78,1,2,15,15.66,1.0,8.359550561797754
252,1,<=30,3,2,16.81,1.19,1,0,5,18.0,1.0,7.675799086757991
253,1,<=45,9,10,3.27,0.78,0,1,19,4.05,0.8181818181818182,1.8370786516853932
254,2,<=45,9,7,2.34,0.92,0,1,16,3.26,1.125,1.21875
255,2,<=45,13,7,9.69,1.64,0,1,20,11.33,1.625,3.670454545454546
256,2,<=45,9,2,2.78,0.99,0,1,11,3.7699999999999996,3.0,1.3969849246231154
257,2,<=30,6,7,26.07,6.63,0,0,13,32.7,0.75,3.416775884665793
258,2,<=30,0,1,7.04,0.37,0,0,1,7.41,0.0,5.138686131386861
259,2,<=45,5,5,13.8,0.57,0,1,10,14.370000000000001,0.8333333333333334,8.789808917197453
260,2,<=45,9,8,6.3,1.52,0,1,17,7.82,1.0,2.5
261,1,<=45,14,0,3.32,0.69,0,1,14,4.01,14.0,1.9644970414201184
262,1,<=55,20,12,8.36,1.23,0,2,32,9.59,1.5384615384615385,3.748878923766816
263,1,<=55,11,1,13.33,5.8,1,2,12,19.13,5.5,1.960294117647059
264,1,<=45,10,4,13.32,1.33,0,1,14,14.65,2.0,5.716738197424893
265,1,<=30,6,7,2.82,0.8,0,0,13,3.62,0.75,1.5666666666666664
266,2,<=45,9,1,5.95,1.03,0,1,10,6.98,4.5,2.9310344827586206
267,1,<=30,11,7,6.54,1.34,0,0,18,7.88,1.375,2.794871794871795
268,1,<=30,2,1,4.77,0.75,1,0,3,5.52,1.0,2.7257142857142855
269,2,<=55,10,14,5.27,0.45,0,2,24,5.72,0.6666666666666666,3.6344827586206896
270,2,<=55,20,8,30.15,3.99,0,2,28,34.14,2.2222222222222223,6.042084168336673
271,1,<=55,8,12,4.59,1.68,0,2,20,6.27,0.6153846153846154,1.7126865671641793
272,1,<=30,6,4,11.02,1.28,0,0,10,12.299999999999999,1.2,4.833333333333333
273,1,<=45,14,21,15.49,3.37,1,1,35,18.86,0.6363636363636364,3.5446224256292904
274,1,<=45,8,1,7.33,0.98,0,1,9,8.31,4.0,3.702020202020202
275,2,<=45,22,9,3.11,1.55,0,1,31,4.66,2.2,1.219607843137255
276,2,<=45,12,8,6.74,1.55,0,1,20,8.290000000000001,1.3333333333333333,2.643137254901961
277,2,<=45,17,4,3.33,0.65,0,1,21,3.98,3.4,2.0181818181818185
278,2,<=30,3,0,16.57,0.92,1,0,3,17.490000000000002,3.0,8.630208333333334
279,2,<=55,10,27,4.44,0.85,0,2,37,5.29,0.35714285714285715,2.4
280,2,<=30,0,2,12.89,1.38,1,0,2,14.27,0.0,5.415966386554622
281,2,<=45,0,18,13.49,2.03,1,1,18,15.52,0.0,4.452145214521453
282,2,<=55,24,3,14.34,1.25,0,2,27,15.59,6.0,6.373333333333333
283,1,<=30,3,4,5.21,0.75,0,0,7,5.96,0.6,2.9771428571428573
284,1,<=30,0,2,17.76,2.77,0,0,2,20.53,0.0,4.710875331564987
285,1,<=30,4,3,23.13,2.15,1,0,7,25.279999999999998,1.0,7.3428571428571425
286,1,<=55,19,2,15.76,5.15,0,2,21,20.91,6.333333333333333,2.56260162601626
287,2,<=30,0,1,4.22,1.84,1,0,1,6.06,0.0,1.4859154929577465
288,2,<=30,10,11,10.23,2.32,0,0,21,12.55,0.8333333333333334,3.0813253012048194
289,2,<=45,6,17,13.99,1.04,0,1,23,15.030000000000001,0.3333333333333333,6.857843137254902
290,2,<=55,0,13,20.1,3.12,0,2,13,23.220000000000002,0.0,4.878640776699029
291,2,<=45,3,13,7.45,0.86,0,1,16,8.31,0.21428571428571427,4.005376344086022
292,2,<=45,15,14,5.81,0.95,0,1,29,6.76,1.0,2.9794871794871796
293,2,<=45,2,14,23.32,2.61,1,1,16,25.93,0.13333333333333333,6.459833795013851
294,1,<=55,18,6,15.86,6.9,1,2,24,22.759999999999998,2.5714285714285716,2.007594936708861
295,1,<=30,8,0,6.34,0.74,1,0,8,7.08,8.0,3.6436781609195403
296,1,<=30,5,4,12.78,3.55,1,0,9,16.33,1.0,2.8087912087912086
297,1,<=30,0,0,11.45,0.72,0,0,0,12.17,0.0,6.656976744186046
298,1,<=45,16,12,4.31,0.78,0,1,28,5.09,1.2307692307692308,2.421348314606741
299,2,<=30,5,5,11.16,1.36,0,0,10,12.52,0.8333333333333334,4.728813559322034
300,1,<=45,22,1,15.27,5.9,0,1,23,21.17,11.0,2.2130434782608694
301,1,<=45,13,3,22.07,3.0,1,1,16,25.07,3.25,5.5175
302,2,<=55,29,26,12.14,5.31,0,2,55,17.45,1.0740740740740742,1.9239302694136293
303,2,<=45,5,3,6.03,0.68,1,1,8,6.71,1.25,3.589285714285714
304,1,<=45,13,2,6.46,1.72,0,1,15,8.18,4.333333333333333,2.375
305,1,<=55,7,9,12.05,1.63,0,2,16,13.68,0.7,4.581749049429658
306,1,<=45,2,11,12.96,0.94,1,1,13,13.9,0.16666666666666666,6.680412371134021
307,1,<=55,22,5,2.82,1.12,0,2,27,3.94,3.6666666666666665,1.3301886792452828
308,2,<=55,16,10,4.62,0.78,0,2,26,5.4,1.4545454545454546,2.595505617977528
309,2,<=45,9,10,23.16,3.12,0,1,19,26.28,0.8181818181818182,5.621359223300971
310,2,<=30,12,7,8.55,2.58,0,0,19,11.13,1.5,2.3882681564245813
311,2,<=45,9,5,5.15,1.26,0,1,14,6.41,1.5,2.278761061946903
312,2,<=55,18,23,4.0,1.77,0,2,41,5.77,0.75,1.444043321299639
313,2,<=55,4,16,2.54,1.03,0,2,20,3.5700000000000003,0.23529411764705882,1.2512315270935959
314,2,<=30,7,0,6.68,0.72,0,0,7,7.3999999999999995,7.0,3.883720930232558
315,2,<=30,0,5,7.36,0.26,0,0,5,7.62,0.0,5.841269841269842
316,1,<=45,8,7,6.43,0.82,0,1,15,7.25,1.0,3.5329670329670333
317,1,<=45,7,3,20.0,2.95,0,1,10,22.95,1.75,5.063291139240506
318,1,<=45,17,3,9.0,2.08,0,1,20,11.08,4.25,2.922077922077922
319,1,<=55,17,23,2.27,0.52,0,2,40,2.79,0.7083333333333334,1.493421052631579
320,2,<=55,8,22,3.7,1.04,0,2,30,4.74,0.34782608695652173,1.8137254901960784
321,2,<=45,2,4,12.79,1.82,1,1,6,14.61,0.4,4.535460992907801
322,2,<=45,2,11,9.85,0.82,1,1,13,10.67,0.16666666666666666,5.412087912087912
323,2,<=45,3,10,7.11,0.35,0,1,13,7.46,0.2727272727272727,5.266666666666667
324,2,<=45,16,10,10.67,1.47,0,1,26,12.14,1.4545454545454546,4.319838056680163
325,2,<=55,31,9,23.46,15.12,1,2,40,38.58,3.1,1.4553349875930524
326,2,<=30,3,5,11.79,0.31,1,0,8,12.1,0.5,8.999999999999998
327,1,<=55,13,11,4.06,0.55,0,2,24,4.609999999999999,1.0833333333333333,2.6193548387096772
328,1,<=30,4,1,3.34,0.77,1,0,5,4.109999999999999,2.0,1.887005649717514
329,1,<=30,1,0,8.48,1.97,1,0,1,10.450000000000001,1.0,2.8552188552188555
330,1,<=55,24,10,6.05,3.61,0,2,34,9.66,2.1818181818181817,1.31236442516269
331,1,<=55,7,24,8.33,3.33,0,2,31,11.66,0.28,1.9237875288683604
332,2,<=30,2,8,5.77,0.71,1,0,10,6.4799999999999995,0.2222222222222222,3.374269005847953
333,1,<=45,4,16,11.24,2.68,0,1,20,13.92,0.23529411764705882,3.0543478260869565
334,1,<=45,0,4,3.71,0.77,1,1,4,4.48,0.0,2.096045197740113
335,2,<=55,22,20,5.9,1.52,0,2,42,7.42,1.0476190476190477,2.3412698412698414
336,2,<=30,6,9,11.89,1.52,0,0,15,13.41,0.6,4.718253968253968
337,1,<=55,17,0,15.26,2.58,0,2,17,17.84,17.0,4.262569832402234
338,1,<=55,13,21,31.03,6.6,1,2,34,37.63,0.5909090909090909,4.082894736842106
339,1,<=30,2,4,3.45,0.97,1,0,6,4.42,0.4,1.751269035532995
340,1,<=55,13,0,3.55,1.86,0,2,13,5.41,13.0,1.241258741258741
341,2,<=45,12,1,15.28,3.77,0,1,13,19.05,6.0,3.2033542976939207
342,2,<=30,2,0,15.43,2.5,1,0,2,17.93,2.0,4.408571428571428
343,2,<=30,0,5,1.12,0.13,0,0,5,1.25,0.0,0.9911504424778763
344,2,<=30,8,6,9.92,0.87,0,0,14,10.79,1.1428571428571428,5.304812834224599
345,2,<=45,7,4,3.19,1.64,0,1,11,4.83,1.4,1.2083333333333335
346,2,<=45,7,0,2.28,0.57,0,1,7,2.8499999999999996,7.0,1.4522292993630574
347,2,<=45,5,3,7.33,1.64,0,1,8,8.97,1.25,2.776515151515152
348,2,<=45,18,10,10.66,0.84,0,1,28,11.5,1.6363636363636365,5.793478260869565
349,1,<=55,5,3,10.5,1.1,0,2,8,11.6,1.25,5.0
350,1,<=45,18,10,15.75,2.71,0,1,28,18.46,1.6363636363636365,4.245283018867925
351,1,<=30,0,2,7.05,0.71,0,0,2,7.76,0.0,4.12280701754386
352,1,<=45,6,1,1.34,0.24,0,1,7,1.58,3.0,1.0806451612903227
353,2,<=30,0,2,4.72,1.04,0,0,2,5.76,0.0,2.313725490196078
354,2,<=30,0,1,2.9,0.66,0,0,1,3.56,0.0,1.7469879518072287
355,2,<=30,2,0,17.74,2.27,1,0,2,20.009999999999998,2.0,5.425076452599388
356,2,<=45,5,0,15.5,3.06,1,1,5,18.56,5.0,3.817733990147783
357,2,<=55,10,18,12.07,2.12,1,2,28,14.190000000000001,0.5263157894736842,3.8685897435897436
358,2,<=30,4,3,10.02,1.19,0,0,7,11.209999999999999,1.0,4.575342465753424
359,2,<=45,2,1,3.89,0.57,0,1,3,4.46,1.0,2.477707006369427
360,1,<=45,11,4,3.93,1.58,0,1,15,5.51,2.2,1.5232558139534884
361,1,<=55,16,31,6.57,1.59,0,2,47,8.16,0.5,2.5366795366795367
362,1,<=45,16,13,2.7,1.96,0,1,29,4.66,1.1428571428571428,0.9121621621621623
363,1,<=55,18,35,8.64,3.31,0,2,53,11.950000000000001,0.5,2.0046403712296983
364,1,<=45,19,8,9.42,2.81,0,1,27,12.23,2.111111111111111,2.47244094488189
365,2,<=30,2,6,13.8,1.72,1,0,8,15.520000000000001,0.2857142857142857,5.0735294117647065
366,1,<=45,6,6,23.93,3.72,1,1,12,27.65,0.8571428571428571,5.069915254237287
367,1,<=55,17,23,4.4,1.52,0,2,40,5.92,0.7083333333333334,1.7460317460317463
368,2,<=45,16,20,19.49,2.46,0,1,36,21.95,0.7619047619047619,5.632947976878612
369,2,<=45,7,14,5.83,0.86,0,1,21,6.69,0.4666666666666667,3.134408602150538
370,1,<=55,12,11,27.14,5.36,1,2,23,32.5,1.0,4.267295597484277
371,1,<=30,1,0,12.92,0.51,0,0,1,13.43,1.0,8.556291390728477
372,1,<=55,23,18,24.56,10.69,0,2,41,35.25,1.2105263157894737,2.100940975192472
373,1,<=55,19,2,8.21,2.45,0,2,21,10.66,6.333333333333333,2.3797101449275364
374,2,<=30,4,7,14.39,1.63,0,0,11,16.02,0.5,5.47148288973384
375,2,<=30,2,1,14.99,0.96,0,0,3,15.95,1.0,7.6479591836734695
376,2,<=45,11,12,17.6,3.36,0,1,23,20.96,0.8461538461538461,4.036697247706423
377,2,<=55,12,5,4.87,1.14,0,2,17,6.01,2.0,2.2757009345794397
378,2,<=45,10,12,10.74,3.95,1,1,22,14.690000000000001,0.7692307692307693,2.1696969696969695
379,2,<=30,6,10,18.66,2.76,0,0,16,21.42,0.5454545454545454,4.962765957446809
380,2,<=45,4,9,14.28,1.52,0,1,13,15.799999999999999,0.4,5.666666666666666
381,2,<=45,6,3,36.0,2.68,1,1,9,38.68,1.5,9.782608695652174
382,1,<=45,10,1,10.84,2.58,1,1,11,13.42,5.0,3.0279329608938546
383,1,<=30,2,5,6.22,0.79,0,0,7,7.01,0.3333333333333333,3.4748603351955305
384,1,<=55,13,4,10.09,1.31,0,2,17,11.4,2.6,4.367965367965367
385,1,<=55,2,13,17.87,1.02,1,2,15,18.89,0.14285714285714285,8.846534653465348
386,2,<=55,9,26,7.4,0.92,0,2,35,8.32,0.3333333333333333,3.854166666666667
387,2,<=30,5,9,24.6,4.04,0,0,14,28.64,0.5,4.880952380952381
388,2,<=45,2,2,17.17,2.37,1,1,4,19.540000000000003,0.6666666666666666,5.094955489614244
389,2,<=45,7,10,5.19,0.43,0,1,17,5.62,0.6363636363636364,3.6293706293706296
390,2,<=55,19,20,18.21,1.08,0,2,39,19.29,0.9047619047619048,8.754807692307692
391,2,<=45,13,8,7.07,1.58,0,1,21,8.65,1.4444444444444444,2.74031007751938
392,2,<=45,11,12,15.29,0.92,0,1,23,16.21,0.8461538461538461,7.963541666666666
393,1,<=30,12,2,6.72,2.02,0,0,14,8.74,4.0,2.225165562913907
394,1,<=45,1,17,11.74,0.89,0,1,18,12.63,0.05555555555555555,6.211640211640211
395,1,<=30,10,4,16.3,1.6,0,0,14,17.900000000000002,2.0,6.269230769230769
396,1,<=45,16,10,21.74,0.81,0,1,26,22.549999999999997,1.4545454545454546,12.011049723756905
397,1,<=55,23,12,4.04,1.15,0,2,35,5.1899999999999995,1.7692307692307692,1.8790697674418606
398,2,<=30,3,1,9.28,0.61,0,0,4,9.889999999999999,1.5,5.763975155279503
399,1,<=30,0,8,30.59,4.55,1,0,8,35.14,0.0,5.511711711711712
400,1,<=45,4,0,12.49,1.29,0,1,4,13.780000000000001,4.0,5.454148471615721
401,2,<=55,1,12,14.94,1.42,0,2,13,16.36,0.07692307692307693,6.1735537190082646
402,2,<=30,8,4,7.21,0.48,0,0,12,7.6899999999999995,1.6,4.871621621621622
403,1,<=30,5,1,9.31,0.59,0,0,6,9.9,2.5,5.855345911949686
404,1,<=30,3,3,12.16,2.01,1,0,6,14.17,0.75,4.039867109634552
405,1,<=55,19,24,9.67,2.31,0,2,43,11.98,0.76,2.921450151057402
406,1,<=55,4,23,9.9,1.9,0,2,27,11.8,0.16666666666666666,3.4137931034482762
407,2,<=45,5,5,10.9,1.89,0,1,10,12.790000000000001,0.8333333333333334,3.771626297577855
408,2,<=55,14,10,16.62,5.41,1,2,24,22.03,1.2727272727272727,2.592823712948518
409,2,<=30,10,2,5.31,0.56,0,0,12,5.869999999999999,3.3333333333333335,3.4038461538461533
410,2,<=45,15,3,7.9,0.81,0,1,18,8.71,3.75,4.3646408839779
411,2,<=30,2,3,10.63,1.51,1,0,5,12.14,0.5,4.235059760956176
412,2,<=45,5,1,3.16,0.3,0,1,6,3.46,2.5,2.430769230769231
413,2,<=45,10,0,12.13,1.33,1,1,10,13.46,10.0,5.206008583690988
414,2,<=55,3,12,21.45,1.52,0,2,15,22.97,0.23076923076923078,8.511904761904761
415,1,<=30,2,0,10.36,0.85,1,0,2,11.209999999999999,2.0,5.6
416,1,<=45,16,15,3.94,0.81,0,1,31,4.75,1.0,2.1767955801104972
417,1,<=45,10,4,5.64,0.86,0,1,14,6.5,2.0,3.032258064516129
418,1,<=45,12,9,6.93,0.5,0,1,21,7.43,1.2,4.62
419,2,<=55,10,10,16.21,2.12,0,2,20,18.330000000000002,0.9090909090909091,5.19551282051282
420,2,<=30,1,10,5.0,1.21,0,0,11,6.21,0.09090909090909091,2.262443438914027
421,2,<=55,11,18,1.55,0.56,0,2,29,2.1100000000000003,0.5789473684210527,0.9935897435897436
422,2,<=55,1,24,23.28,3.33,0,2,25,26.61,0.04,5.376443418013857
423,2,<=30,12,10,8.7,0.71,0,0,22,9.41,1.0909090909090908,5.087719298245614
424,2,<=55,32,9,7.94,10.07,0,2,41,18.01,3.2,0.7172538392050587
425,2,<=30,6,6,20.33,3.13,0,0,12,23.459999999999997,0.8571428571428571,4.9225181598062955
426,1,<=45,22,4,4.16,0.75,0,1,26,4.91,4.4,2.3771428571428572
427,1,<=30,0,4,18.93,1.09,1,0,4,20.02,0.0,9.057416267942584
428,1,<=45,18,7,7.23,0.78,0,1,25,8.01,2.25,4.061797752808989
429,1,<=45,6,9,9.25,1.7,0,1,15,10.95,0.6,3.4259259259259256
430,1,<=30,0,2,16.67,1.04,1,0,2,17.71,0.0,8.17156862745098
431,2,<=30,4,5,5.05,1.4,1,0,9,6.449999999999999,0.6666666666666666,2.1041666666666665
432,1,<=30,0,3,5.42,0.55,1,0,3,5.97,0.0,3.496774193548387
433,1,<=45,7,2,13.52,1.98,1,1,9,15.5,2.3333333333333335,4.5369127516778525
434,2,<=45,15,14,3.08,2.91,0,1,29,5.99,1.0,0.7877237851662404
435,2,<=45,12,14,15.31,3.85,0,1,26,19.16,0.8,3.1567010309278354
436,1,<=30,2,3,7.27,0.45,1,0,5,7.72,0.5,5.0137931034482754
437,1,<=30,2,6,20.28,1.71,0,0,8,21.990000000000002,0.2857142857142857,7.48339483394834
438,1,<=30,2,2,10.27,1.79,1,0,4,12.059999999999999,0.6666666666666666,3.6810035842293907
439,1,<=45,1,1,4.78,0.66,0,1,2,5.44,0.5,2.8795180722891565
440,2,<=55,16,1,3.16,0.91,0,2,17,4.07,8.0,1.6544502617801047
441,2,<=30,5,2,8.4,1.55,0,0,7,9.950000000000001,1.6666666666666667,3.294117647058824
442,2,<=30,10,8,18.54,4.65,0,0,18,23.189999999999998,1.1111111111111112,3.2814159292035394
443,2,<=55,6,1,12.29,3.08,0,2,7,15.37,3.0,3.0122549019607843
444,2,<=45,15,18,14.26,5.58,0,1,33,19.84,0.7894736842105263,2.1671732522796354
445,2,<=30,3,8,2.94,0.42,0,0,11,3.36,0.3333333333333333,2.0704225352112675
446,2,<=45,11,13,8.11,2.14,0,1,24,10.25,0.7857142857142857,2.5828025477707004
447,2,<=45,13,0,3.01,1.09,0,1,13,4.1,13.0,1.4401913875598087
448,1,<=30,0,6,12.78,2.4,1,0,6,15.18,0.0,3.7588235294117647
449,1,<=45,18,2,7.57,0.92,0,1,20,8.49,6.0,3.9427083333333335
450,1,<=55,4,3,5.37,0.35,0,2,7,5.72,1.0,3.9777777777777774
451,1,<=45,16,14,37.05,7.57,1,1,30,44.62,1.0666666666666667,4.323220536756126
452,2,<=45,19,16,4.14,1.21,0,1,35,5.35,1.1176470588235294,1.8733031674208143
453,2,<=30,7,10,15.77,1.0,0,0,17,16.77,0.6363636363636364,7.885
454,2,<=45,1,3,15.59,2.22,1,1,4,17.81,0.25,4.841614906832298
455,2,<=55,2,26,14.34,1.93,0,2,28,16.27,0.07407407407407407,4.8941979522184305
